;;;;;;
;;;;;;
;cod;denumire;grupa;pretul;descriere;brand
;T1606;;;;;
;T0001;DNK'a Acrygel 30ml  №0001;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0002;DNK'a Acrygel 30m №0002;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0003;DNK'a Acrygel 30m №0003;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0004;DNK'a Acrygel 30m №0004;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0005;DNK'a Acrygel 30m №0005;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0006;DNK'a Acrygel 30m №0006;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0007;DNK'a Acrygel 30m №0007;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.;DNK'a
;T0008;DNK'a Acrygel 30m №0008;Alungire;290;DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.; 
;3143;Adaptor Pentru Lampa UV;TEHNICA;120;Adaptor pentru lampă UV, conceput pentru conectare sigură și alimentare stabilă a echipamentelor de sterilizare cu lumină ultravioletă. Compact și ușor de utilizat, oferă compatibilitate optimă și funcționare fiabilă pentru utilizare zilnică.; 
;T0014;Solutie Aerodisin 250ml;Sterilizare&Dezinfectare;95;Conceput pentru dezinfectarea rapidă a obiectelor mici și a dispozitivelor medicale reutilizabile. Curăță și dezinfectează eficient suprafețele de dimensiuni reduse, pregătindu-le pentru utilizare sigură.; 
;T0015;Solutie AHD 2000 EXpress 250 ml;Sterilizare&Dezinfectare;95;Dezinfectant profesional pentru mâini, delicat cu pielea și fără efecte alergice. Conține complex de îngrijire care previne uscăciunea, menține elasticitatea și echilibrul natural al pielii. Eficient virucid, bactericid, tuberculocid și fungicid, cu protecție prelungită până la 3 ore.; 
;T0017;Solutie AHD 2000 Ultra 1000ml;Sterilizare&Dezinfectare;220;Dezinfectant profesional pentru mâini, delicat cu pielea și fără efecte alergice. Conține complex de îngrijire care previne uscăciunea, menține elasticitatea și echilibrul natural al pielii. Eficient virucid, bactericid, tuberculocid și fungicid, cu protecție prelungită până la 3 ore.; 
;T0016;Solutie AHD 2000 Ultra 250 ml;Sterilizare&Dezinfectare;95;Dezinfectant profesional pentru mâini, delicat cu pielea și fără efecte alergice. Conține complex de îngrijire care previne uscăciunea, menține elasticitatea și echilibrul natural al pielii. Eficient virucid, bactericid, tuberculocid și fungicid, cu protecție prelungită până la 3 ore.; 
;3055;Lampa AI  Sensor Nail Lamp;TEHNICA;550;Lanternă pentru manichiură cu senzor inteligent AI, ideală pentru uscarea rapidă și uniformă a gelului pe unghii. Design compact și portabil, cu activare automată pentru o experiență comodă și eficientă. ; 
;T0871;Air Brash pentru Ombre ;Design;39;Aeropuffing / Ombre Stick. Tehnologie modernă pentru designul unghiilor cu gel-lac, care creează efect de aerografie și design aerat fără a folosi aerograf. Perfectă pentru unghii cu aspect delicat și profesionist.; 
;T0872;Air Brash pentru Ombre ;Design;70;Aeropuffing / Ombre Stick. Tehnologie modernă pentru designul unghiilor cu gel-lac, care creează efect de aerografie și design aerat fără a folosi aerograf. Perfectă pentru unghii cu aspect delicat și profesionist.; 
;T0873;Duze Pentru Air Brash 5buc.;Design;30;Aeropuffing / Ombre Stick. Tehnologie modernă pentru designul unghiilor cu gel-lac, care creează efect de aerografie și design aerat fără a folosi aerograf. Perfectă pentru unghii cu aspect delicat și profesionist.; 
;3059;Aplicator Pentru Crystale;Design;45;Aplicator pentru cristale cu capăt din silicon, perfect pentru preluarea și poziționarea precisă a pietricelelor decorative pe unghii. Ușor de utilizat și delicat cu suprafața cristalelor, oferă rezultate profesionale în manichiură. ; 
;T2202;Aspirator 001A;TEHNICA;350;Aspirator profesional de masă pentru manichiură și pedichiură, conceput pentru colectarea eficientă a prafului. Motorul puternic de 100 W asigură o absorbție constantă la 4500 rpm, iar filtrul HEPA reține chiar și cele mai fine particule, menținând aerul curat și sigur în timpul lucrului.; 
;T2203;Aspirator BQ-858-10;TEHNICA;700;Aspirator profesional de masă pentru manichiură și pedichiură, conceput pentru colectarea eficientă a prafului. Motorul puternic de 100 W asigură o absorbție constantă la 4500 rpm, iar filtrul HEPA reține chiar și cele mai fine particule, menținând aerul curat și sigur în timpul lucrului.; 
;T2204;Aspirator BQ-858-11;TEHNICA;470;Aspirator profesional de masă pentru manichiură și pedichiură, conceput pentru colectarea eficientă a prafului. Motorul puternic de 100 W asigură o absorbție constantă la 4500 rpm, iar filtrul HEPA reține chiar și cele mai fine particule, menținând aerul curat și sigur în timpul lucrului.; 
;T2205;Aspirator BQ-858-15;TEHNICA;600;Model compact și performant, care absoarbe eficient praful datorită motorului de 100 W. Dispune de eco-filtru reutilizabil cu foi interschimbabile și regulator de viteză pentru lucru confortabil. Design modern, stabil și ideal pentru masa de lucru.; 
;T2206;Aspirator BQ-858-8;TEHNICA;650;Aspirator profesional universal, compact și ușor de utilizat, cu dimensiuni de 22 × 23,5 × 9 cm, ideală pentru orice masă de lucru. Carcasa din plastic rezistent la impact suportă bine curățarea și dezinfectarea. Designul simplu și culoarea neutră se potrivesc perfect în orice interior.; 
;T2209;Aspirator SC808-1;TEHNICA;500;Aspirator profesional de masă pentru manichiură și pedichiură, conceput pentru colectarea eficientă a prafului. Motorul puternic de 100 W asigură o absorbție constantă la 4500 rpm, iar filtrul HEPA reține chiar și cele mai fine particule, menținând aerul curat și sigur în timpul lucrului; 
;T2210;Aspirator WL-007 120W;TEHNICA;1250;Aspirator compact și puternic, ideal pentru manichiuriste și pasionații de Nail Art. Îndepărtează eficient praful generat la pilirea unghiilor, menținând spațiul curat. Are ventilator de 120W, 3 trepte de viteză, filtru reutilizabil și design silențios. Perfect pentru uz profesional sau acasă. Culoare: alb.; 
;T0036;DNK'a Cover  Base 12ml №0003 Passionate;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0037;DNK'a Cover  Base 12ml №0005 Daring;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0038;DNK'a Cover  Base 12ml №0007 Powerful;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0039;DNK'a Cover  Base 12ml №0009 Nice;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0040;DNK'a Cover  Base 12ml №0010 Wonderful;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0041;DNK'a Cover  Base 12ml №0010A Lovely;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0042;DNK'a Cover  Base 12ml №0011 Famous;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0043;DNK'a Cover  Base 12ml №0011A Happy;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0044;DNK'a Cover  Base 12ml №0014 Brave;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0045;DNK'a Cover  Base 12ml №0016 Sincere;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0046;DNK'a Cover  Base 12ml №0017 Kind;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'aDNK'a
;T0047;DNK'a Cover  Base 12ml №0018 Dreamy;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0048;DNK'a Cover  Base 12ml №0019 Fresh;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0049;DNK'a Cover  Base 12ml №0021 Sunny;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0050;DNK'a Cover  Base 12ml №0022 Naive;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0051;DNK'a Cover  Base 12ml №0023 Tender;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0052;DNK'a Cover  Base 12ml №0024 Creative;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0053;DNK'a Cover  Base 12ml №0025 Pretty;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0054;DNK'a Cover  Base 12ml №0031 Business;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0055;DNK'a Cover  Base 12ml №0032 Soulful;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
