"Brand","SKU","Category","Title","Text","Quantity","Price","Price Old","Photo","Characteristics:Cantitate","Characteristics:Putere","Characteristics:Tip","Characteristics:Grit","Characteristics:Greutate"
"DNK'a","T0001","Alungire","DNK'a Acrygel 30ml  №0001","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","0","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/883dea98759267b8e4384f79af6c4c2f.jpg","30 ml","","","",""
"DNK'a","T0002","Alungire","DNK'a Acrygel 30m №0002","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","2","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/050cff12796d42423e2fe230295d5fcf.webp","","","","",""
"DNK'a","T0003","Alungire","DNK'a Acrygel 30m №0003","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","2","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/ba1c92eb155fe23a15762e489a31d2cd.jpg","","","","",""
"DNK'a","T0004","Alungire","DNK'a Acrygel 30m №0004","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","1","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/63a9426c4444cc9d0fa8c8ae35db50cb.png","","","","",""
"DNK'a","T0005","Alungire","DNK'a Acrygel 30m №0005","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","0","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/01addd060142bb20fe1572b9f6625122.png","","","","",""
"DNK'a","T0006","Alungire","DNK'a Acrygel 30m №0006","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","2","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/6b7870a8ef44d326d9fc911b5b68fc5d.jpg","","","","",""
"DNK'a","T0007","Alungire","DNK'a Acrygel 30m №0007","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","1","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/40e29755b562be318e20a92e379ac214.jpg","","","","",""
"DNK'a","T0008","Alungire","DNK'a Acrygel 30m №0008","DNK’a Acryl Gel – gel acrilic versatil, auto-nivelant, pentru întărirea, repararea și modelarea unghiilor cu un aspect natural, ușor de aplicat și fără senzație de arsură.","0","261","290","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/7f25e8bad81440c0546536fc90c31966.jpg","","","","",""
"","3143","TEHNICA","Adaptor Pentru Lampa UV","Adaptor pentru lampă UV, conceput pentru conectare sigură și alimentare stabilă a echipamentelor de sterilizare cu lumină ultravioletă. Compact și ușor de utilizat, oferă compatibilitate optimă și funcționare fiabilă pentru utilizare zilnică.","4","102","120","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/6bfd6ba54aa7e01713a72e8a067e9305.jpg","","","","",""
"Aerodisin","T0014","Sterilizare&Dezinfectare","Solutie Aerodisin 250ml","Conceput pentru dezinfectarea rapidă a obiectelor mici și a dispozitivelor medicale reutilizabile. Curăță și dezinfectează eficient suprafețele de dimensiuni reduse, pregătindu-le pentru utilizare sigură.","0","95","","https://pub-bdc9e7e148164007b19e2753ba1b49b9.r2.dev/3358ca8f4db1eb65e1599e4bd414c3c7.webp","250 ml","","","",""
